Fecha,Numero_horas_con_deambulacion,Numero_horas_estacionarias,Total_hrs_monitorizadas,Hrs_sin_registro,min_totales_en_movimiento,Total_min_de_ejercicio_diario,distancia_caminada_en_km,Numero_pasos_por_dia,FCr_promedio_diario,Gasto_calorico_activo,HRV_SDNN,FC_al_caminar_promedio_diario
2021-06-25,7.0,0.0,7.0,17.0,84.0,70.0,3.57575,4572.0,62.40000000000009,226.533,54.9477,81.0
2021-06-26,14.0,4.0,18.0,6.0,71.0,7.0,3.3701995,4264.0,51.0,445.528,77.96067142857143,107.0
2021-06-27,16.0,6.0,22.0,2.0,165.0,73.0,4.8980457,9797.0,39.0,669.621,60.8798,95.0
2021-06-28,13.0,1.0,14.0,10.0,178.0,115.0,7.6845866,9623.0,45.0,574.136,46.76066666666667,98.5
2021-06-29,15.0,9.0,24.0,0.0,175.0,130.0,5.4878032,6861.0,40.0,446.614,63.878249999999994,99.0
2021-06-30,13.0,11.0,24.0,0.0,150.0,112.0,6.7165435,8305.0,40.0,464.76,70.37651666666666,82.5
2021-07-01,14.0,10.0,24.0,0.0,205.0,100.0,7.5970495,9405.0,40.0,526.775,72.70633333333333,98.5
2021-07-02,18.0,6.0,24.0,0.0,157.0,108.0,5.2867285,6697.0,41.0,518.107,55.401700000000005,82.5
2021-07-03,16.0,1.0,17.0,7.0,267.0,92.0,10.249356569999998,12835.699999999999,50.0,993.5708999999998,64.614725,93.5
2021-07-04,11.0,4.0,15.0,9.0,196.0,44.0,6.5927225,8577.0,50.7,670.307,51.8187,94.25
2021-07-05,12.0,12.0,24.0,0.0,183.0,136.0,6.644419,8211.0,38.0,455.488,95.54429999999999,79.0
2021-07-06,12.0,4.0,16.0,8.0,131.0,115.0,3.833968186,4848.1,47.0,365.299,65.788175,98.0
2021-07-07,13.0,9.0,22.0,2.0,143.0,117.0,6.35285,8015.0,37.0,435.882,66.179925,82.5
2021-07-08,10.0,6.0,16.0,8.0,121.0,98.0,5.097713,6349.0,49.0,389.969,47.0113,73.0
2021-07-09,12.0,10.0,22.0,2.0,116.0,88.0,4.7560779,6006.0,40.0,429.258,75.507525,91.5
2021-07-10,16.0,9.0,25.0,-1.0,73.0,23.0,3.86946212,4909.0,40.0,580.687,45.404360000000004,84.0
2021-07-11,15.0,0.0,15.0,9.0,193.0,58.0,5.8240155,9408.0,48.0,647.39,30.40596916666667,84.0
2021-07-12,13.0,8.0,21.0,3.0,218.0,108.0,9.090454,11260.0,37.0,570.081,96.974075,88.0
2021-07-13,14.0,10.0,24.0,0.0,130.0,113.0,5.2535395,6545.0,37.0,445.177,75.89914999999999,88.0
2021-07-14,14.0,8.0,22.0,2.0,153.0,124.0,6.6524835,8290.0,40.0,421.541,74.23194000000001,72.75
2021-07-15,16.0,9.0,25.0,-1.0,189.0,120.0,6.662038,7998.0,39.0,582.468,63.33554,77.0
2021-07-16,13.0,9.0,22.0,2.0,163.0,96.0,6.2802114,7849.0,40.0,546.141,61.72146,87.0
2021-07-17,14.0,10.0,24.0,0.0,149.0,19.3,5.3930055,6282.0,40.0,632.032,55.033879999999996,92.0
2021-07-18,14.0,5.0,19.0,5.0,142.0,25.0,4.5166017,5538.0,47.0,581.534,46.682375,87.0
2021-07-19,12.0,10.0,22.0,2.0,178.0,136.0,7.28705539,8976.0,39.0,470.873,47.28021666666667,73.25
2021-07-20,15.0,9.0,24.0,0.0,159.0,107.0,6.8984126,8308.0,40.0,503.723,77.56626666666666,73.0
2021-07-21,11.0,11.0,22.0,2.0,145.0,125.0,6.4036337,7927.0,37.0,358.49219999999997,63.1458,75.125
2021-07-22,14.0,3.0,17.0,7.0,214.0,123.0,8.044587,9926.0,49.0,558.049,47.03896666666666,95.5
2021-07-23,16.0,7.0,23.0,1.0,220.0,112.0,7.5133992,9309.0,40.0,579.819,81.128075,87.0
2021-07-24,16.0,2.0,18.0,6.0,235.0,33.0,6.88420382,9204.0,48.0,748.496,52.416399999999996,73.0
2021-07-25,19.0,1.0,20.0,4.0,82.0,20.0,4.3276385,5401.0,46.0,624.009,51.046933333333335,73.125
2021-07-26,14.0,3.0,17.0,7.0,205.0,152.79999999999998,8.4046015,10444.0,42.0,436.748,72.41716666666666,72.0
2021-07-27,15.0,8.0,23.0,1.0,138.0,110.0,5.247653,6510.0,38.0,415.838,82.2959,73.0
2021-07-28,13.0,3.0,16.0,8.0,186.0,77.0,6.3685055,7843.0,46.0,530.178,73.12885,80.7
2021-07-29,20.0,4.0,24.0,0.0,228.0,121.0,8.473449,10408.0,38.0,585.975,101.3951525,75.0
2021-07-30,12.0,4.0,16.0,8.0,134.0,97.0,5.3749112,6800.0,48.0,467.09499999999997,43.661875,80.5
2021-07-31,15.0,2.0,17.0,7.0,163.0,29.0,6.89854575,7930.0,42.0,661.776,62.07033333333334,70.0
2021-08-01,14.0,3.0,17.0,7.0,135.0,17.0,4.451852,5240.0,49.7,581.277,52.901225,73.5
